"Edit","Undo","F9","In Windows"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Widget in Focus"
"Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Views","Show View ()","⌘7","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Edit","Undo","⇧⌃-","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Git","Compare with HEAD Revision","⌘D","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Editor Commands","Download Sources","⇧⌃R D","Specfile Editor Context"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Source","Format","⇧⌘F","C/C++ Editor"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Source","Declaration","⌘G","In C/C++ Views"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Text Editing","Previous Word","⌥B","Editing Text"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"File","Close","⌃X K","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Edit","Incremental Find","⌃S","Editing Text"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Set Mark","⌃2","Editing Text"
"Source","Comment/Uncomment","⌘/","C/C++ Editor"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"File","Print","Esc F9","In Windows"
"Window","Switch to Editor","⌃E","In Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Source","Open Declaration","F3","In C/C++ Views"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"File","Properties","⌥↩","In Windows"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Source","Go to Previous Member","⌃⌥↑","C/C++ Editor"
"Search","Find Text in File","⌘F","In Windows"
"Navigate","Open Type Hierarchy","⇧⌘H","In C/C++ Views"
"Changelog","Format ChangeLog","Esc ⌃F","Editing Text"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Text Editing","Previous Column","⌃B","Editing Text"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Navigate","Set Quick Bookmark 4","⌥4","Editing Text"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Text Editing","Text End","⌥>","Editing Text"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Widget in Focus"
"Text Editing","Line Start","⌃A","Editing Text"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"File","Save All","⌃X S","In Windows"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"Run/Debug","Debug","⌘F11","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Source","Open Declaration","⌃⌘L","C/C++ Editor"
"Source","Show outline","⌃6","C/C++ Editor"
"UML2 Sequence Diagram Viewer Commands","Scroll left","⇧⌥←","UML2 Sequence Diagram Viewer"
"Source","References","⌥⌘K","In C/C++ Views"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Edit","Delete","⌦","In Windows"
"Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
